code;label;parent
E66.05;Obésité due à un excès calorique de l'adulte avec indice de masse corporelle [IMC] égal ou supérieur à 35 kg/m² et inférieur à 40 kg/m²;E66.0
E66.06;Obésité due à un excès calorique de l'adulte avec indice de masse corporelle [IMC] égal ou supérieur à 40 kg/m² et inférieur à 50 kg/m²;E66.0
E66.07;Obésité due à un excès calorique de l'adulte avec indice de masse corporelle [IMC] égal ou supérieur à 50 kg/m²;E66.0
E66.09;Obésité due à un excès calorique de l'adulte, indice de masse corporelle [IMC] non précisé;E66.0
E66.1;Obésité médicamenteuse;E66
E66.13;Surpoids médicamenteux de l'adulte ou de l'enfant;E66.1
E66.14;Obésité médicamenteuse de l'adulte avec indice de masse corporelle [IMC] égal ou supérieur à 30 kg/m² et inférieur à 35 kg/m², ou obésité médicamenteuse de l'enfant;E66.1
E66.15;Obésité médicamenteuse de l'adulte avec indice de masse corporelle [IMC] égal ou supérieur à 35 kg/m² et inférieur à 40 kg/m²;E66.1
E66.16;Obésité médicamenteuse de l'adulte avec indice de masse corporelle [IMC] égal ou supérieur à 40 kg/m² et inférieur à 50 kg/m²;E66.1
E66.17;Obésité médicamenteuse de l'adulte avec indice de masse corporelle [IMC] égal ou supérieur à 50 kg/m²;E66.1
E66.19;Obésité médicamenteuse de l'adulte, indice de masse corporelle [IMC] non précisé;E66.1
E66.2;Obésité (extrême) avec hypoventilation alvéolaire;E66
E66.24;Obésité (extrême) avec hypoventilation alvéolaire de l'adulte avec indice de masse corporelle [IMC] égal ou supérieur à 30 kg/m² et inférieur à 35 kg/m², ou obésité (extrême) avec hypoventilation alvéolaire de l'enfant;E66.2
E66.25;Obésité (extrême) avec hypoventilation alvéolaire de l'adulte avec indice de masse corporelle [IMC] égal ou supérieur à 35 kg/m² et inférieur à 40 kg/m²;E66.2
E66.26;Obésité (extrême) avec hypoventilation alvéolaire de l'adulte avec indice de masse corporelle [IMC] égal ou supérieur à 40 kg/m² et inférieur à 50 kg/m²;E66.2
E66.27;Obésité (extrême) avec hypoventilation alvéolaire de l'adulte avec indice de masse corporelle [IMC] égal ou supérieur à 50 kg/m²;E66.2
E66.29;Obésité (extrême) avec hypoventilation alvéolaire de l'adulte, avec indice de masse corporelle [IMC] non précisé;E66.2
E66.8;Autres obésités;E66
E66.83;Autres surpoids de l'adulte ou de l'enfant;E66.8
E66.84;Autres obésités de l'adulte avec indice de masse corporelle [IMC] égal ou supérieur à 30 kg/m² et inférieur à 35 kg/m², ou autres obésités de l'enfant;E66.8
E66.85;Autres obésités de l'adulte avec indice de masse corporelle [IMC] égal ou supérieur à 35 kg/m² et inférieur à 40 kg/m²;E66.8
E66.86;Autres obésités de l'adulte avec indice de masse corporelle [IMC] égal ou supérieur à 40 kg/m² et inférieur à 50 kg/m²;E66.8
E66.87;Autres obésités de l'adulte avec indice de masse corporelle [IMC] égal ou supérieur à 50 kg/m²;E66.8
E66.89;Autres obésités de l'adulte, indice de masse corporelle [IMC] non précisé;E66.8
E66.9;Obésité, sans précision;E66
E66.93;Surpoids de l'adulte ou de l'enfant, sans précision;E66.9
E66.94;Obésité sans précision, de l'adulte avec indice de masse corporelle [IMC] égal ou supérieur à 30 kg/m² et inférieur à 35 kg/m², ou obésité sans précision de l'enfant;E66.9
E66.95;Obésité sans précision, de l'adulte avec indice de masse corporelle [IMC] égal ou supérieur à 35 kg/m² et inférieur à 40 kg/m²;E66.9
E66.96;Obésité sans précision, de l'adulte avec indice de masse corporelle [IMC] égal ou supérieur à 40 kg/m² et inférieur à 50 kg/m²;E66.9
E66.97;Obésité sans précision, de l'adulte avec indice de masse corporelle [IMC] égal ou supérieur à 50 kg/m²;E66.9
E66.99;Obésité sans précision, de l'adulte, indice de masse corporelle [IMC] non précisé;E66.9
E67;Autres excès d'apport;E65-E68
E67.0;Hypervitaminose A;E67
E67.1;Hypercaroténémie;E67
E67.2;Syndrome d'hypervitaminose B_6;E67
E67.3;Hypervitaminose D;E67
E67.8;Autres excès précisés d'apport;E67
E68;Séquelles d'excès d'apport;E65-E68
E70-E90;Anomalies du métabolisme;04
E70;Anomalies du métabolisme des acides aminés aromatiques;E70-E90
E70.0;Phénylcétonurie classique;E70
E70.1;Autres hyperphénylalaninémies;E70
E70.2;Anomalies du métabolisme de la tyrosine;E70
E70.3;Albinisme;E70
E70.8;Autres anomalies du métabolisme des acides aminés aromatiques;E70
E70.9;Anomalies du métabolisme des acides aminés aromatiques, sans précision;E70
E71;Anomalies du métabolisme des acides aminés à chaine ramifiée et du métabolisme des acides gras;E70-E90
E71.0;Maladie des urines à odeur de sirop d'érable;E71
E71.1;Autres anomalies du métabolisme des acides aminés à chaine ramifiée;E71
E71.2;Anomalie du métabolisme des acides aminés à chaine ramifiée, sans précision;E71
E71.3;Anomalie du métabolisme des acides gras;E71
E72;Autres anomalies du métabolisme des acides aminés;E70-E90
E72.0;Anomalies du transport des acides aminés;E72
E72.1;Anomalies du métabolisme des acides aminés soufrés;E72
E72.2;Anomalies du cycle de l'uréogenèse;E72
E72.3;Anomalies du métabolisme de la lysine et de l'hydroxylysine;E72
E72.4;Anomalies du métabolisme de l'ornithine;E72
E72.5;Anomalies du métabolisme de la glycine;E72
E72.8;Autres anomalies précisées du métabolisme des acides aminés;E72
E72.9;Anomalie du métabolisme des acides aminés, sans précision;E72
E73;Intolérance au lactose;E70-E90
E73.0;Déficit congénital en lactase;E73
E73.1;Déficit secondaire en lactase;E73
E73.8;Autres intolérances au lactose;E73
E73.9;Intolérance au lactose, sans précision;E73
E74;Autres anomalies du métabolisme des hydrates de carbone;E70-E90
E74.0;Thésaurismose glycogénique;E74
E74.1;Anomalies du métabolisme du fructose;E74
E74.2;Anomalies du métabolisme du galactose;E74
E74.3;Autres anomalies de l'absorption intestinale des hydrates de carbone;E74
E74.4;Anomalies du métabolisme du pyruvate et de la gluconéogenèse;E74
E74.8;Autres anomalies précisées du métabolisme des hydrates de carbone;E74
E74.9;Anomalie du métabolisme des hydrates de carbone, sans précision;E74
E75;Anomalies du métabolisme des sphingolipides et autres anomalies du stockage des lipides;E70-E90
E75.0;Gangliosidose GM_2;E75
E75.1;Autres gangliosidoses;E75
E75.2;Autres sphingolipidoses;E75
E75.3;Sphingolipidose, sans précision;E75
E75.4;Lipofuscinose à céroïdes neuronaux;E75
E75.5;Autres anomalies du stockage des lipides;E75
E75.6;Anomalie du stockage des lipides, sans précision;E75
E76;Anomalies du métabolisme des glucosaminoglycanes;E70-E90
E76.0;Mucopolysaccharidose, type I;E76
E76.1;Mucopolysaccharidose, type II;E76
E76.2;Autres mucopolysaccharidoses;E76
E76.3;Mucopolysaccharidose, sans précision;E76
E76.8;Autres anomalies du métabolisme des glucosaminoglycanes;E76
E76.9;Anomalie du métabolisme des glucosaminoglycanes, sans précision;E76
E77;Anomalies du métabolisme des glycoprotéines;E70-E90
E77.0;Défauts de la transformation posttraductionnelle des enzymes lysosomiaux;E77
E77.1;Défauts de la dégradation des glycoprotéines;E77
E77.8;Autres anomalies du métabolisme des glycoprotéines;E77
E77.9;Anomalie du métabolisme des glycoprotéines, sans précision;E77
E78;Anomalies du métabolisme des lipoprotéines et autres lipidémies;E70-E90
E78.0;Hypercholestérolémie essentielle;E78
E78.1;Hyperglycéridémie essentielle;E78
E78.2;Hyperlipidémie mixte;E78
E78.3;Hyperchylomicronémie;E78
E78.4;Autres hyperlipidémies;E78
E78.5;Hyperlipidémie, sans précision;E78
E78.6;Déficit en lipoprotéines;E78
E78.8;Autres anomalies du métabolisme des lipoprotéines;E78
E78.9;Anomalie du métabolisme des lipoprotéines, sans précision;E78
E79;Anomalies du métabolisme de la purine et de la pyrimidine;E70-E90
E79.0;Hyperuricémie sans signes d'arthrite inflammatoire et de maladie tophacée;E79
E79.1;Syndrome de Lesch–Nyhan;E79
E79.8;Autres anomalies du métabolisme de la purine et de la pyrimidine;E79
E79.9;Anomalie du métabolisme de la purine et de la pyrimidine, sans précision;E79
E80;Anomalies du métabolisme de la porphyrine et de la bilirubine;E70-E90
E80.0;Porphyrie érythropoïétique héréditaire;E80
E80.1;Porphyrie cutanée tardive;E80
E80.2;Autres porphyries;E80
E80.3;Déficit en catalase et en peroxydase;E80
E80.4;Syndrome de Gilbert;E80
E80.5;Maladie de Crigler-Najjar;E80
E80.6;Autres anomalies du métabolisme de la bilirubine;E80
E80.7;Anomalie du métabolisme de la bilirubine, sans précision;E80
E83;Anomalies du métabolisme des minéraux;E70-E90
E83.0;Anomalies du métabolisme du cuivre;E83
E83.1;Anomalies du métabolisme du fer;E83
E83.2;Anomalies du métabolisme du zinc;E83
E83.3;Anomalies du métabolisme du phosphore et des phosphatases;E83
E83.4;Anomalies du métabolisme du magnésium;E83
E83.5;Anomalies du métabolisme du calcium;E83
E83.50;Hypercalcémie supérieure à 3 millimoles [mmol] par litre;E83.5
E83.51;Hypocalcémie inférieure à 1,5 millimoles [mmol] par litre;E83.5
E83.58;Anomalies du métabolisme du calcium, autres et sans précision;E83.5
E83.8;Autres anomalies du métabolisme des minéraux;E83
E83.9;Anomalie du métabolisme des minéraux, sans précision;E83
E84;Fibrose kystique du pancréas;E70-E90
E84.0;Fibrose kystique du pancréas avec manifestations pulmonaires;E84
E84.1;Fibrose kystique du pancréas avec manifestations intestinales;E84
E84.8;Fibrose kystique du pancréas avec autres manifestations;E84
E84.9;Fibrose kystique du pancréas, sans précision;E84
E85;Amylose;E70-E90
E85.0;Amylose hérédofamiliale non neuropathique;E85
E85.1;Amylose hérédofamiliale neuropathique;E85
E85.2;Amylose hérédofamiliale, sans précision;E85
E85.3;Amylose généralisée secondaire;E85
E85.4;Amylose limitée à un ou plusieurs organes;E85
E85.8;Autres amyloses;E85
E85.9;Amylose, sans précision;E85
E86;Hypovolémie;E70-E90
E87;Autres déséquilibres hydroélectrolytiques et acidobasiques;E70-E90
E87.0;Hyperosmolarité et hypernatrémie;E87
E87.00;Hypernatrémie supérieure à 150 millimoles [mmol] par litre;E87.0
E87.08;Hyperosmolarités et hypernatrémies, autres et sans précision;E87.0
E87.1;Hypoosmolarité et hyponatrémie;E87
E87.10;Hyponatrémie inférieure à 120 millimoles [mmol] par litre;E87.1
E87.18;Hypoosmolarités et hyponatrémies, autres et sans précision;E87.1
E87.2;Acidose;E87
E87.3;Alcalose;E87
E87.4;Anomalie mixte de l'équilibre acidobasique;E87
E87.5;Hyperkaliémie;E87
E87.50;Hyperkaliémie supérieure à 6,5 millimoles [mmol] par litre;E87.5
E87.58;Hyperkaliémies, autres et sans précision;E87.5
E87.6;Hypokaliémie;E87
E87.60;Hypokaliémie inférieure à 2,5 millimoles [mmol] par litre;E87.6
E87.68;Hypokaliémies, autres et sans précision;E87.6
E87.7;Surcharge liquidienne;E87
E87.8;Autres déséquilibres hydroélectrolytiques, non classés ailleurs;E87
E88;Autres anomalies métaboliques;E70-E90
E88.0;Anomalies du métabolisme des protéines plasmatiques, non classées ailleurs;E88
E88.1;Lipodystrophie, non classée ailleurs;E88
E88.2;Lipomatose, non classée ailleurs;E88
E88.3;Syndrome de lyse tumorale;E88
E88.8;Autres anomalies métaboliques précisées;E88
E88.9;Anomalie métabolique, sans précision;E88
E89;Anomalies endocriniennes et métaboliques après un acte à visée diagnostique et thérapeutique, non classées ailleurs;E70-E90
E89.0;Hypothyroïdie après un acte à visée diagnostique et thérapeutique;E89
E89.1;Hypo-insulinémie après un acte à visée diagnostique et thérapeutique;E89
E89.2;Hypoparathyroïdie après un acte à visée diagnostique et thérapeutique;E89
E89.3;Hypopituitarisme après un acte à visée diagnostique et thérapeutique;E89
E89.4;Insuffisance ovarienne après un acte à visée diagnostique et thérapeutique;E89
E89.5;Hypofonctionnement testiculaire après un acte à visée diagnostique et thérapeutique;E89
E89.6;Hypofonctionnement surrénal (de la corticale) (de la médullaire) après un acte à visée diagnostique et thérapeutique;E89
E89.8;Autres anomalies endocriniennes et métaboliques après un acte à visée diagnostique et thérapeutique;E89
E89.9;Anomalie endocrinienne et métabolique après un acte à visée diagnostique et thérapeutique, sans précision;E89
E90;Anomalies nutritionnelles et métaboliques au cours de maladies classées ailleurs;E70-E90
F00-F09;Troubles mentaux organiques, y compris les troubles symptomatiques;05
F00;Démence de la maladie d'Alzheimer;F00-F09
F00.0;Démence de la maladie d'Alzheimer, à début précoce;F00
F00.00;"Démence de la maladie d'Alzheimer, à début précoce [G30.0]   - \"" sans symptôme supplémentaire \""";F00.0
F00.000;"Démence de la maladie d'Alzheimer, à début précoce [G30.0]   - \""sans symptôme supplémentaire\"" - \""légère\""";F00.00
F00.001;"Démence de la maladie d'Alzheimer, à début précoce [G30.0]   - \""sans symptôme supplémentaire\"" - \""moyenne\""";F00.00
F00.002;"Démence de la maladie d'Alzheimer, à début précoce [G30.0]   - \""sans symptôme supplémentaire\"" - \""sévère\""";F00.00
F00.01;"Démence de la maladie d'Alzheimer, à début précoce [G30.0]   - \"" avec d’autres symptômes, essentiellement délirants \""";F00.0
F00.010;"Démence de la maladie d'Alzheimer, à début précoce [G30.0]   - \""avec d’autres symptômes, essentiellement délirants\"" - \""légère\""";F00.01
F00.011;"Démence de la maladie d'Alzheimer, à début précoce [G30.0]   - \""avec d’autres symptômes, essentiellement délirants\"" - \""moyenne\""";F00.01
F00.012;"Démence de la maladie d'Alzheimer, à début précoce [G30.0]   - \""avec d’autres symptômes, essentiellement délirants\"" - \""sévère\""";F00.01
F00.02;"Démence de la maladie d'Alzheimer, à début précoce [G30.0]   - \"" avec d’autres symptômes, essentiellement hallucinatoires \""";F00.0
F00.020;"Démence de la maladie d'Alzheimer, à début précoce [G30.0]   - \""avec d’autres symptômes, essentiellement hallucinatoires\"" - \""légère\""";F00.02
F00.021;"Démence de la maladie d'Alzheimer, à début précoce [G30.0]   - \""avec d’autres symptômes, essentiellement hallucinatoires\"" - \""moyenne\""";F00.02
F00.022;"Démence de la maladie d'Alzheimer, à début précoce [G30.0]   - \""avec d’autres symptômes, essentiellement hallucinatoires\"" - \""sévère\""";F00.02
F00.03;"Démence de la maladie d'Alzheimer, à début précoce [G30.0]   - \"" avec d’autres symptômes, essentiellement dépressifs \""";F00.0
F00.030;"Démence de la maladie d'Alzheimer, à début précoce [G30.0]   - \""avec d’autres symptômes, essentiellement dépressifs\"" - \""légère\""";F00.03
F00.031;"Démence de la maladie d'Alzheimer, à début précoce [G30.0]   - \""avec d’autres symptômes, essentiellement dépressifs\"" - \""moyenne\""";F00.03
F00.032;"Démence de la maladie d'Alzheimer, à début précoce [G30.0]   - \""avec d’autres symptômes, essentiellement dépressifs\"" - \""sévère\""";F00.03
F00.04;"Démence de la maladie d'Alzheimer, à début précoce [G30.0]   - \"" avec d’autres symptômes, mixtes \""";F00.0
F00.040;"Démence de la maladie d'Alzheimer, à début précoce [G30.0]   - \""avec d’autres symptômes, mixtes\"" - \""légère\""";F00.04
F00.041;"Démence de la maladie d'Alzheimer, à début précoce [G30.0]   - \""avec d’autres symptômes, mixtes\"" - \""moyenne\""";F00.04
F00.042;"Démence de la maladie d'Alzheimer, à début précoce [G30.0]   - \""avec d’autres symptômes, mixtes\"" - \""sévère\""";F00.04
F00.1;Démence de la maladie d'Alzheimer, à début tardif;F00
F00.10;"Démence de la maladie d'Alzheimer, à début tardif [G30.1]   - \"" sans symptôme supplémentaire \""";F00.1
F00.100;"Démence de la maladie d'Alzheimer, à début tardif [G30.1]   - \""sans symptôme supplémentaire\"" - \""légère\""";F00.10
F00.101;"Démence de la maladie d'Alzheimer, à début tardif [G30.1]   - \""sans symptôme supplémentaire\"" - \""moyenne\""";F00.10
F00.102;"Démence de la maladie d'Alzheimer, à début tardif [G30.1]   - \""sans symptôme supplémentaire\"" - \""sévère\""";F00.10
F00.11;"Démence de la maladie d'Alzheimer, à début tardif [G30.1]   - \"" avec d’autres symptômes, essentiellement délirants \""";F00.1
F00.110;"Démence de la maladie d'Alzheimer, à début tardif [G30.1]   - \""avec d’autres symptômes, essentiellement délirants\"" - \""légère\""";F00.11
F00.111;"Démence de la maladie d'Alzheimer, à début tardif [G30.1]   - \""avec d’autres symptômes, essentiellement délirants\"" - \""moyenne\""";F00.11
F00.112;"Démence de la maladie d'Alzheimer, à début tardif [G30.1]   - \""avec d’autres symptômes, essentiellement délirants\"" - \""sévère\""";F00.11
F00.12;"Démence de la maladie d'Alzheimer, à début tardif [G30.1]   - \"" avec d’autres symptômes, essentiellement hallucinatoires \""";F00.1
F00.120;"Démence de la maladie d'Alzheimer, à début tardif [G30.1]   - \""avec d’autres symptômes, essentiellement hallucinatoires\"" - \""légère\""";F00.12
F00.121;"Démence de la maladie d'Alzheimer, à début tardif [G30.1]   - \""avec d’autres symptômes, essentiellement hallucinatoires\"" - \""moyenne\""";F00.12
F00.122;"Démence de la maladie d'Alzheimer, à début tardif [G30.1]   - \""avec d’autres symptômes, essentiellement hallucinatoires\"" - \""sévère\""";F00.12
F00.13;"Démence de la maladie d'Alzheimer, à début tardif [G30.1]   - \"" avec d’autres symptômes, essentiellement dépressifs \""";F00.1
F00.130;"Démence de la maladie d'Alzheimer, à début tardif [G30.1]   - \""avec d’autres symptômes, essentiellement dépressifs\"" - \""légère\""";F00.13
F00.131;"Démence de la maladie d'Alzheimer, à début tardif [G30.1]   - \""avec d’autres symptômes, essentiellement dépressifs\"" - \""moyenne\""";F00.13
F00.132;"Démence de la maladie d'Alzheimer, à début tardif [G30.1]   - \""avec d’autres symptômes, essentiellement dépressifs\"" - \""sévère\""";F00.13
F00.14;"Démence de la maladie d'Alzheimer, à début tardif [G30.1]   - \"" avec d’autres symptômes, mixtes \""";F00.1
F00.140;"Démence de la maladie d'Alzheimer, à début tardif [G30.1]   - \""avec d’autres symptômes, mixtes\"" - \""légère\""";F00.14
F00.141;"Démence de la maladie d'Alzheimer, à début tardif [G30.1]   - \""avec d’autres symptômes, mixtes\"" - \""moyenne\""";F00.14
F00.142;"Démence de la maladie d'Alzheimer, à début tardif [G30.1]   - \""avec d’autres symptômes, mixtes\"" - \""sévère\""";F00.14
F00.2;Démence de la maladie d'Alzheimer, forme atypique ou mixte;F00
F00.20;"Démence de la maladie d'Alzheimer, forme atypique ou mixte [G30.8]   - \"" sans symptôme supplémentaire \""";F00.2
F00.200;"Démence de la maladie d'Alzheimer, forme atypique ou mixte [G30.8]   - \""sans symptôme supplémentaire\"" - \""légère\""";F00.20
F00.201;"Démence de la maladie d'Alzheimer, forme atypique ou mixte [G30.8]   - \""sans symptôme supplémentaire\"" - \""moyenne\""";F00.20
F00.202;"Démence de la maladie d'Alzheimer, forme atypique ou mixte [G30.8]   - \""sans symptôme supplémentaire\"" - \""sévère\""";F00.20
F00.21;"Démence de la maladie d'Alzheimer, forme atypique ou mixte [G30.8]   - \"" avec d’autres symptômes, essentiellement délirants \""";F00.2
F00.210;"Démence de la maladie d'Alzheimer, forme atypique ou mixte [G30.8]   - \""avec d’autres symptômes, essentiellement délirants\"" - \""légère\""";F00.21
F00.211;"Démence de la maladie d'Alzheimer, forme atypique ou mixte [G30.8]   - \""avec d’autres symptômes, essentiellement délirants\"" - \""moyenne\""";F00.21
F00.212;"Démence de la maladie d'Alzheimer, forme atypique ou mixte [G30.8]   - \""avec d’autres symptômes, essentiellement délirants\"" - \""sévère\""";F00.21
F00.22;"Démence de la maladie d'Alzheimer, forme atypique ou mixte [G30.8]   - \"" avec d’autres symptômes, essentiellement hallucinatoires \""";F00.2
F00.220;"Démence de la maladie d'Alzheimer, forme atypique ou mixte [G30.8]   - \""avec d’autres symptômes, essentiellement hallucinatoires\"" - \""légère\""";F00.22
F00.221;"Démence de la maladie d'Alzheimer, forme atypique ou mixte [G30.8]   - \""avec d’autres symptômes, essentiellement hallucinatoires\"" - \""moyenne\""";F00.22
F00.222;"Démence de la maladie d'Alzheimer, forme atypique ou mixte [G30.8]   - \""avec d’autres symptômes, essentiellement hallucinatoires\"" - \""sévère\""";F00.22
F00.23;"Démence de la maladie d'Alzheimer, forme atypique ou mixte [G30.8]   - \"" avec d’autres symptômes, essentiellement dépressifs \""";F00.2
F00.230;"Démence de la maladie d'Alzheimer, forme atypique ou mixte [G30.8]   - \""avec d’autres symptômes, essentiellement dépressifs\"" - \""légère\""";F00.23
F00.231;"Démence de la maladie d'Alzheimer, forme atypique ou mixte [G30.8]   - \""avec d’autres symptômes, essentiellement dépressifs\"" - \""moyenne\""";F00.23
F00.232;"Démence de la maladie d'Alzheimer, forme atypique ou mixte [G30.8]   - \""avec d’autres symptômes, essentiellement dépressifs\"" - \""sévère\""";F00.23
F00.24;"Démence de la maladie d'Alzheimer, forme atypique ou mixte [G30.8]   - \"" avec d’autres symptômes, mixtes \""";F00.2
F00.240;"Démence de la maladie d'Alzheimer, forme atypique ou mixte [G30.8]   - \""avec d’autres symptômes, mixtes\"" - \""légère\""";F00.24
F00.241;"Démence de la maladie d'Alzheimer, forme atypique ou mixte [G30.8]   - \""avec d’autres symptômes, mixtes\"" - \""moyenne\""";F00.24
F00.242;"Démence de la maladie d'Alzheimer, forme atypique ou mixte [G30.8]   - \""avec d’autres symptômes, mixtes\"" - \""sévère\""";F00.24
F00.9;Démence de la maladie d'Alzheimer, sans précision;F00
F00.90;"Démence de la maladie d'Alzheimer, sans précision [G30.9]   - \"" sans symptôme supplémentaire \""";F00.9
F00.900;"Démence de la maladie d'Alzheimer, sans précision [G30.9]   - \""sans symptôme supplémentaire\"" - \""légère\""";F00.90
F00.901;"Démence de la maladie d'Alzheimer, sans précision [G30.9]   - \""sans symptôme supplémentaire\"" - \""moyenne\""";F00.90
F00.902;"Démence de la maladie d'Alzheimer, sans précision [G30.9]   - \""sans symptôme supplémentaire\"" - \""sévère\""";F00.90
F00.91;"Démence de la maladie d'Alzheimer, sans précision [G30.9]   - \"" avec d’autres symptômes, essentiellement délirants \""";F00.9
F00.910;"Démence de la maladie d'Alzheimer, sans précision [G30.9]   - \""avec d’autres symptômes, essentiellement délirants\"" - \""légère\""";F00.91
F00.911;"Démence de la maladie d'Alzheimer, sans précision [G30.9]   - \""avec d’autres symptômes, essentiellement délirants\"" - \""moyenne\""";F00.91
F00.912;"Démence de la maladie d'Alzheimer, sans précision [G30.9]   - \""avec d’autres symptômes, essentiellement délirants\"" - \""sévère\""";F00.91
F00.92;"Démence de la maladie d'Alzheimer, sans précision [G30.9]   - \"" avec d’autres symptômes, essentiellement hallucinatoires \""";F00.9
F00.920;"Démence de la maladie d'Alzheimer, sans précision [G30.9]   - \""avec d’autres symptômes, essentiellement hallucinatoires\"" - \""légère\""";F00.92
F00.921;"Démence de la maladie d'Alzheimer, sans précision [G30.9]   - \""avec d’autres symptômes, essentiellement hallucinatoires\"" - \""moyenne\""";F00.92
F00.922;"Démence de la maladie d'Alzheimer, sans précision [G30.9]   - \""avec d’autres symptômes, essentiellement hallucinatoires\"" - \""sévère\""";F00.92
F00.93;"Démence de la maladie d'Alzheimer, sans précision [G30.9]   - \"" avec d’autres symptômes, essentiellement dépressifs \""";F00.9
F00.930;"Démence de la maladie d'Alzheimer, sans précision [G30.9]   - \""avec d’autres symptômes, essentiellement dépressifs\"" - \""légère\""";F00.93
F00.931;"Démence de la maladie d'Alzheimer, sans précision [G30.9]   - \""avec d’autres symptômes, essentiellement dépressifs\"" - \""moyenne\""";F00.93
F00.932;"Démence de la maladie d'Alzheimer, sans précision [G30.9]   - \""avec d’autres symptômes, essentiellement dépressifs\"" - \""sévère\""";F00.93
F00.94;"Démence de la maladie d'Alzheimer, sans précision [G30.9]   - \"" avec d’autres symptômes, mixtes \""";F00.9
F00.940;"Démence de la maladie d'Alzheimer, sans précision [G30.9]   - \""avec d’autres symptômes, mixtes\"" - \""légère\""";F00.94
F00.941;"Démence de la maladie d'Alzheimer, sans précision [G30.9]   - \""avec d’autres symptômes, mixtes\"" - \""moyenne\""";F00.94
F00.942;"Démence de la maladie d'Alzheimer, sans précision [G30.9]   - \""avec d’autres symptômes, mixtes\"" - \""sévère\""";F00.94
F01;Démence vasculaire;F00-F09
F01.0;Démence vasculaire à début aigu;F01
F01.00;"Démence vasculaire à début aigu - \"" sans symptôme supplémentaire \""";F01.0
F01.000;"Démence vasculaire à début aigu - \""sans symptôme supplémentaire\"" - \""légère\""";F01.00
F01.001;"Démence vasculaire à début aigu - \""sans symptôme supplémentaire\"" - \""moyenne\""";F01.00
F01.002;"Démence vasculaire à début aigu - \""sans symptôme supplémentaire\"" - \""sévère\""";F01.00
F01.01;"Démence vasculaire à début aigu - \"" avec d’autres symptômes, essentiellement délirants \""";F01.0
F01.010;"Démence vasculaire à début aigu - \""avec d’autres symptômes, essentiellement délirants\"" - \""légère\""";F01.01
F01.011;"Démence vasculaire à début aigu - \""avec d’autres symptômes, essentiellement délirants\"" - \""moyenne\""";F01.01
F01.012;"Démence vasculaire à début aigu - \""avec d’autres symptômes, essentiellement délirants\"" - \""sévère\""";F01.01
F01.02;"Démence vasculaire à début aigu - \"" avec d’autres symptômes, essentiellement hallucinatoires \""";F01.0
F01.020;"Démence vasculaire à début aigu - \""avec d’autres symptômes, essentiellement hallucinatoires\"" - \""légère\""";F01.02
F01.021;"Démence vasculaire à début aigu - \""avec d’autres symptômes, essentiellement hallucinatoires\"" - \""moyenne\""";F01.02
F01.022;"Démence vasculaire à début aigu - \""avec d’autres symptômes, essentiellement hallucinatoires\"" - \""sévère\""";F01.02
F01.03;"Démence vasculaire à début aigu - \"" avec d’autres symptômes, essentiellement dépressifs \""";F01.0
F01.030;"Démence vasculaire à début aigu - \""avec d’autres symptômes, essentiellement dépressifs\"" - \""légère\""";F01.03
F01.031;"Démence vasculaire à début aigu - \""avec d’autres symptômes, essentiellement dépressifs\"" - \""moyenne\""";F01.03
F01.032;"Démence vasculaire à début aigu - \""avec d’autres symptômes, essentiellement dépressifs\"" - \""sévère\""";F01.03
F01.04;"Démence vasculaire à début aigu - \"" avec d’autres symptômes, mixtes \""";F01.0
F01.040;"Démence vasculaire à début aigu - \""avec d’autres symptômes, mixtes\"" - \""légère\""";F01.04
F01.041;"Démence vasculaire à début aigu - \""avec d’autres symptômes, mixtes\"" - \""moyenne\""";F01.04
F01.042;"Démence vasculaire à début aigu - \""avec d’autres symptômes, mixtes\"" - \""sévère\""";F01.04
F01.1;Démence vasculaire par infarctus multiples;F01
F01.10;"Démence vasculaire par infarctus multiples - \"" sans symptôme supplémentaire \""";F01.1
F01.100;"Démence vasculaire par infarctus multiples - \""sans symptôme supplémentaire\"" - \""légère\""";F01.10
F01.101;"Démence vasculaire par infarctus multiples - \""sans symptôme supplémentaire\"" - \""moyenne\""";F01.10
F01.102;"Démence vasculaire par infarctus multiples - \""sans symptôme supplémentaire\"" - \""sévère\""";F01.10
F01.11;"Démence vasculaire par infarctus multiples - \"" avec d’autres symptômes, essentiellement délirants \""";F01.1
F01.110;"Démence vasculaire par infarctus multiples - \""avec d’autres symptômes, essentiellement délirants\"" - \""légère\""";F01.11
F01.111;"Démence vasculaire par infarctus multiples - \""avec d’autres symptômes, essentiellement délirants\"" - \""moyenne\""";F01.11
F01.112;"Démence vasculaire par infarctus multiples - \""avec d’autres symptômes, essentiellement délirants\"" - \""sévère\""";F01.11
F01.12;"Démence vasculaire par infarctus multiples - \"" avec d’autres symptômes, essentiellement hallucinatoires \""";F01.1
F01.120;"Démence vasculaire par infarctus multiples - \""avec d’autres symptômes, essentiellement hallucinatoires\"" - \""légère\""";F01.12
F01.121;"Démence vasculaire par infarctus multiples - \""avec d’autres symptômes, essentiellement hallucinatoires\"" - \""moyenne\""";F01.12
F01.122;"Démence vasculaire par infarctus multiples - \""avec d’autres symptômes, essentiellement hallucinatoires\"" - \""sévère\""";F01.12
F01.13;"Démence vasculaire par infarctus multiples - \"" avec d’autres symptômes, essentiellement dépressifs \""";F01.1
